Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,1781.14,13775.8,0.213,1381.47,10490.64,0.382,0.169,-399.67
LightGBM,910.98,11831.17,0.715,576.09,11207.5,0.847,0.132,-334.89
Ridge,1758.71,13426.41,0.154,1466.25,11051.72,0.43,0.276,-292.46
