Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,1651.71,12522.98,0.374,1314.1,10981.4,0.477,0.103,-337.61
LightGBM,1025.43,12359.41,0.649,633.05,11852.45,0.82,0.171,-392.38
Ridge,1548.97,13223.29,0.406,1352.84,9470.8,0.496,0.09,-196.13
