Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,1022.71,11975.48,0.669,924.5,10553.36,0.69,0.021,-98.21
LightGBM,586.25,9859.42,0.864,605.25,10206.06,0.854,-0.01,19.0
Ridge,1560.17,12921.71,0.371,1581.11,12221.56,0.393,0.022,20.94
