Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,75.55,403.3,-0.048,68.17,326.42,0.005,0.053,-7.38
LightGBM,70.32,364.17,0.018,66.54,355.17,0.041,0.023,-3.78
Ridge,175.13,1118.99,-5.878,97.87,814.22,-0.46,5.418,-77.26
