Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,79.2,560.25,-0.098,68.28,325.96,0.009,0.107,-10.92
LightGBM,71.44,356.0,-0.006,66.96,325.53,0.023,0.029,-4.48
Ridge,175.62,1075.56,-5.958,97.29,767.94,-0.401,5.557,-78.33
