Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,75.16,383.79,-0.059,67.39,359.6,0.041,0.1,-7.77
LightGBM,70.27,333.04,0.005,66.2,328.23,0.03,0.025,-4.07
Ridge,107.48,827.22,-0.636,69.34,474.73,0.083,0.719,-38.14
