Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,1022.71,11975.48,0.669,905.53,10283.88,0.712,0.043,-117.18
LightGBM,826.54,11696.53,0.76,581.9,11483.39,0.85,0.09,-244.64
Ridge,1560.17,12921.71,0.371,1580.72,12234.62,0.393,0.022,20.55
