Modelo,MAE_base,MAPE_base,R²_base,MAE_opt,MAPE_opt,R²_opt,ΔR²,ΔMAE
KNN,879.43,11025.55,0.734,1387.3,11481.42,0.399,-0.335,507.87
LightGBM,819.9,11639.93,0.762,597.06,11416.17,0.841,0.079,-222.84
Ridge,1563.07,12927.36,0.37,1466.73,11350.99,0.424,0.054,-96.34
